item_id,name,rune_weight,jet,coefficient,pdb,last_updated_fr,Actualisation,rune_last_update,price,runes_qty,focus_runes_qty,profitability,focus_profitability
49,Rune Vi,0.2,13,2684,1.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,42.5,6.2,5185.0,756.4
49,Rune Do Terre,5.0,2,2684,3.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1246,17.4,1.4,21680.4,1744.4
49,Rune Do Neutre,5.0,2,2684,3.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1094,17.4,1.4,19035.6,1531.6
44,Rune Fo,1.0,8,2423,1.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,44.6,2.6,3969.4,231.4
44,Rune Do Terre,5.0,1,2423,1.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1246,7.4,0.5,9220.4,623.0
65,Rune Fo,1.0,26,1141,16.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 10:01:00,89,189.4,30.5,16856.6,2714.5
65,Rune Vi,0.2,36,1141,5.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 10:01:00,122,60.7,24.8,7405.4,3025.6
65,Rune Age,1.0,26,1141,16.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 10:01:00,131,189.4,30.5,24811.4,3995.5
65,Rune Tac,4.0,2,1141,5.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 10:01:00,775,16.5,6.3,12787.5,4882.5
66,Rune Ga Pme,90.0,1,47,45.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 09:30:00,23950,0.2,0.5,4790.0,11975.0
66,Rune Fui,4.0,-12,47,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 09:30:00,414,0.0,0.0,0.0,0.0
66,Rune Tac,4.0,-12,47,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 09:30:00,775,0.0,0.0,0.0,0.0
77,Rune Fo,1.0,12,96,2.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-13 10:02:00,89,2.3,2.4,204.7,213.6
134,Rune Ine,1.0,4,1592,1.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,75,18.8,1.2,1410.0,90.0
147,Rune Vi,0.2,8,21,1.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 08:47:00,122,0.2,2.5,24.4,305.0
147,Rune Cri,10.0,2,21,2.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 08:47:00,1875,0.1,0.3,187.5,562.5
121,Rune Age,1.0,8,2028,2.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,131,42.2,2.1,5528.2,275.1
194,Rune Vi,0.2,18,2709,1.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,50.5,5.6,6161.0,683.2
194,Rune Ine,1.0,13,2709,4.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,75,111.6,6.8,8370.0,510.0
194,Rune Cri,10.0,1,2709,3.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1875,9.2,0.6,17250.0,1125.0
158,Rune Vi,0.2,13,50,1.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-16 07:09:00,122,0.7,3.9,85.4,475.8
158,Rune Age,1.0,8,50,2.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-16 07:09:00,131,1.2,4.4,157.2,576.4
158,Rune Tac,4.0,2,50,2.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-16 07:09:00,775,0.3,1.1,232.5,852.5
208,Rune Fo,1.0,8,2281,2.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,58.4,6.0,5197.6,534.0
208,Rune Cri,10.0,2,2281,4.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1875,11.2,0.7,21000.0,1312.5
208,Rune Do Terre,5.0,1,2281,2.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1246,9.0,1.1,11214.0,1370.6
160,Rune Ga Pa,100.0,1,40,92.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-05 05:22:00,34893,0.4,1.2,13957.2,41871.6
160,Rune Vi,0.2,18,40,4.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-05 05:22:00,122,1.7,77.6,207.4,9467.2
160,Rune Sa,3.0,13,40,36.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-05 05:22:00,75,4.9,31.3,367.5,2347.5
160,Rune Ine,1.0,18,40,17.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-05 05:22:00,75,7.0,84.2,525.0,6315.0
181,Rune Fo,1.0,-10,65,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,89,0.0,0.0,0.0,0.0
181,Rune Vi,0.2,50,65,8.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,122,5.6,50.0,683.2,6100.0
181,Rune Cha,1.0,-10,65,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,31,0.0,0.0,0.0,0.0
181,Rune Age,1.0,36,65,28.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,131,18.6,60.0,2436.6,7860.0
181,Rune Ine,1.0,-10,65,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,75,0.0,0.0,0.0,0.0
181,Rune Po,51.0,1,65,40.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,8860,0.5,1.3,4430.0,11518.0
181,Rune Fui,4.0,2,65,7.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,414,1.2,12.3,496.8,5092.2
181,Rune Tac,4.0,2,65,7.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-17 11:47:00,775,1.2,12.3,930.0,9532.5
201,Rune Fo,1.0,-10,50,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-11 05:26:00,89,0.0,0.0,0.0,0.0
201,Rune Sa,3.0,28,50,70.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-11 05:26:00,75,11.7,35.7,877.5,2677.5
201,Rune Cha,1.0,36,50,30.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-11 05:26:00,31,15.4,87.4,477.4,2709.4
201,Rune Po,51.0,1,50,43.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-11 05:26:00,8860,0.4,1.8,3544.0,15948.0
200,Rune Ga Pa,100.0,1,32,101.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 10:02:00,34893,0.3,1.5,10467.9,52339.5
200,Rune Vi,0.2,40,32,9.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 10:02:00,122,2.9,103.5,353.8,12627.0
200,Rune Sa,3.0,25,32,76.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 10:02:00,75,8.1,45.7,607.5,3427.5
200,Rune Age,1.0,-40,32,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 10:02:00,131,0.0,0.0,0.0,0.0
200,Rune Cri,10.0,1,32,11.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-09 10:02:00,1875,0.4,10.5,750.0,19687.5
140,Rune Fo,1.0,8,2260,2.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,47.0,2.9,4183.0,258.1
140,Rune Do Terre,5.0,1,2260,1.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,1246,7.6,0.5,9469.6,623.0
180,Rune Ga Pa,100.0,1,63,158.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,34893,1.0,3.7,34893.0,129104.1
180,Rune Fo,1.0,-26,63,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,89,0.0,0.0,0.0,0.0
180,Rune Sa,3.0,30,63,142.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,75,30.0,119.4,2250.0,8955.0
180,Rune Ine,1.0,30,63,48.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,75,30.4,310.9,2280.0,23317.5
180,Rune Po,51.0,1,63,81.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,8860,1.0,6.4,8860.0,56704.0
180,Rune Ga Pme,90.0,1,63,142.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-23 10:23:00,23950,1.0,4.0,23950.0,95800.0
204,Rune Vi,0.2,-16,166,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-18 06:44:00,122,0.0,0.0,0.0,0.0
204,Rune Sa,3.0,26,166,80.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-18 06:44:00,75,44.6,43.0,3345.0,3225.0
204,Rune Age,1.0,26,166,27.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-18 06:44:00,131,45.7,102.5,5986.7,13427.5
204,Rune Ine,1.0,26,166,27.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-18 06:44:00,75,45.7,102.5,3427.5,7687.5
204,Rune Cri,10.0,4,166,41.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-18 06:44:00,1875,6.9,11.0,12937.5,20625.0
157,Rune Vi,0.2,23,35,2.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-12 01:23:00,122,0.8,7.4,97.6,902.8
157,Rune Ine,1.0,13,35,4.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-12 01:23:00,75,1.5,8.5,112.5,637.5
157,Rune So,10.0,2,35,6.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-12 01:23:00,278,0.2,0.9,55.6,250.2
156,Rune Vi,0.2,36,100,4.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-03 07:49:00,122,4.3,16.0,524.6,1952.0
156,Rune Cha,1.0,36,100,17.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-03 07:49:00,31,17.7,22.7,548.7,703.7
156,Rune Age,1.0,-30,100,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-03 07:49:00,131,0.0,0.0,0.0,0.0
156,Rune Do Eau,5.0,2,100,5.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-03 07:49:00,929,1.1,3.3,1021.9,3065.7
161,Rune Vi,0.2,4,1101,1.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,14.6,12.2,1781.2,1488.4
161,Rune Po,51.0,1,1101,21.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,8860,4.7,0.4,41642.0,3544.0
159,Rune Ga Pa,100.0,1,50,61.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-28 08:58:00,34893,0.3,0.6,10467.9,20935.8
159,Rune Vi,0.2,-20,50,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-28 08:58:00,122,0.0,0.0,0.0,0.0
159,Rune Ini,0.1,-300,50,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-28 08:58:00,106,0.0,0.0,0.0,0.0
165,Rune Ine,1.0,10,62,2.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 12:24:00,75,1.6,3.6,120.0,270.0
165,Rune Do Feu,5.0,1,62,1.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-02 12:24:00,982,0.2,0.6,196.4,589.2
203,Rune Vi,0.2,50,144,6.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-14 02:16:00,122,8.6,26.7,1049.2,3257.4
203,Rune Ine,1.0,-30,144,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-14 02:16:00,75,0.0,0.0,0.0,0.0
203,Rune Do,20.0,2,144,20.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-14 02:16:00,925,1.5,1.7,1387.5,1572.5
203,Rune Cri,10.0,4,144,20.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-14 02:16:00,1875,3.0,3.4,5625.0,6375.0
153,Rune Cha,1.0,8,939,1.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,16.2,1.7,502.2,52.7
202,Rune Fo,1.0,36,76,29.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,89,22.1,64.8,1966.9,5767.2
202,Rune Vi,0.2,50,76,8.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,122,6.7,54.7,817.4,6673.4
202,Rune Cha,1.0,-25,76,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,31,0.0,0.0,0.0,0.0
202,Rune Age,1.0,36,76,29.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,131,22.1,64.8,2895.1,8488.8
202,Rune Ine,1.0,-25,76,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,75,0.0,0.0,0.0,0.0
202,Rune Tac,4.0,2,76,7.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,775,1.4,13.5,1085.0,10462.5
202,Rune Do Terre,5.0,2,76,8.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,1246,1.3,10.9,1619.8,13581.4
202,Rune Do Air,5.0,2,76,8.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,1293,1.3,10.9,1680.9,14093.7
202,Rune Do Neutre,5.0,2,76,8.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-20 12:54:00,1094,1.3,10.9,1422.2,11924.6
188,Rune Sa,3.0,8,38,3.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-13 10:02:00,75,0.5,1.3,37.5,97.5
218,Rune Age,1.0,26,104,12.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-01 08:31:00,131,12.8,21.5,1676.8,2816.5
218,Rune Cri,10.0,4,104,18.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-01 08:31:00,1875,1.9,2.5,3562.5,4687.5
241,Rune Vi,0.2,26,1434,2.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,33.4,4.1,4074.8,500.2
241,Rune Cha,1.0,10,1434,3.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,50.9,4.7,1577.9,145.7
235,Rune Age,1.0,18,2131,5.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,131,113.4,6.8,14855.4,890.8
235,Rune Tac,4.0,2,2131,2.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,775,15.6,1.4,12090.0,1085.0
236,Rune Vi,0.2,26,1496,2.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,41.8,7.8,5099.6,951.6
236,Rune Age,1.0,26,1496,10.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,131,149.2,11.4,19545.2,1493.4
214,Rune Vi,0.2,23,86,2.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 11:29:00,122,1.9,5.0,231.8,610.0
214,Rune Age,1.0,18,86,5.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 11:29:00,131,4.8,6.7,628.8,877.7
219,Rune Fo,1.0,-16,185,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-09 02:35:00,89,0.0,0.0,0.0,0.0
219,Rune Vi,0.2,36,185,7.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-09 02:35:00,122,14.6,63.2,1781.2,7710.4
219,Rune Cha,1.0,36,185,35.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-09 02:35:00,31,65.8,77.0,2039.8,2387.0
219,Rune Age,1.0,36,185,35.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-09 02:35:00,131,65.8,77.0,8619.8,10087.0
219,Rune Cri,10.0,4,185,39.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-09 02:35:00,1875,7.3,7.9,13687.5,14812.5
220,Rune Ga Pa,100.0,1,33,110.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 08:25:00,34893,0.4,1.6,13957.2,55828.8
220,Rune Vi,0.2,36,33,8.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 08:25:00,122,2.9,112.2,353.8,13688.4
220,Rune Sa,3.0,13,33,43.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 08:25:00,75,4.8,43.2,360.0,3240.0
220,Rune Cha,1.0,26,33,29.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 08:25:00,31,9.7,122.5,300.7,3797.5
220,Rune Do Eau,5.0,4,33,22.9,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 08:25:00,929,1.5,23.8,1393.5,22110.2
250,Rune Ga Pa,100.0,1,1834,109.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,34893,20.0,1.5,697860.0,52339.5
250,Rune Vi,0.2,26,1834,6.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,121.3,99.3,14798.6,12114.6
250,Rune Cha,1.0,18,1834,20.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,374.9,106.2,11621.9,3292.2
250,Rune Invo,30.0,1,1834,33.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,2457,20.4,3.8,50122.8,9336.6
250,Rune Do Eau,5.0,4,1834,22.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,929,82.9,21.5,77014.1,19973.5
259,Rune Fo,1.0,10,79,2.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-08 02:44:00,89,1.7,3.0,151.3,267.0
259,Rune Do Terre,5.0,1,79,1.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-08 02:44:00,1246,0.3,0.5,373.8,623.0
230,Rune Vi,0.2,26,19,2.5,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 06:56:00,122,0.5,9.0,61.0,1098.0
230,Rune Fui,4.0,2,19,3.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 06:56:00,414,0.2,2.4,82.8,993.6
230,Rune Do Cri,5.0,2,19,3.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 06:56:00,1092,0.1,1.9,109.2,2074.8
230,Rune Ré Cri,2.0,2,19,2.1,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 06:56:00,460,0.2,4.4,92.0,2024.0
230,Rune Do Neutre,5.0,2,19,3.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-11 06:56:00,1094,0.1,1.9,109.4,2078.6
255,Rune Vi,0.2,30,165,1.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-15 08:51:00,122,3.0,1.8,366.0,219.6
267,Rune Vi,0.2,18,1507,2.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,30.5,7.9,3721.0,963.8
267,Rune Sa,3.0,4,1507,4.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,75,22.2,3.0,1665.0,225.0
267,Rune Cha,1.0,13,1507,4.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,70.9,9.3,2197.9,288.3
267,Rune Prospe,3.0,2,1507,2.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,93,13.6,2.8,1264.8,260.4
251,Rune Vi,0.2,20,86,2.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-12 04:50:00,122,1.9,3.9,231.8,475.8
251,Rune Tac,4.0,2,86,3.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-12 04:50:00,775,0.7,1.1,542.5,852.5
234,Rune Vi,0.2,16,161,4.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-04 09:57:00,122,6.7,99.7,817.4,12163.4
234,Rune Sa,3.0,40,161,119.8,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-04 09:57:00,75,64.3,52.5,4822.5,3937.5
234,Rune Ine,1.0,40,161,40.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-04 09:57:00,75,65.4,117.9,4905.0,8842.5
234,Rune Invo,30.0,1,161,30.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-04 09:57:00,2457,1.6,3.8,3931.2,9336.6
233,Rune Fo,1.0,26,35,33.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,89,11.5,174.5,1023.5,15530.5
233,Rune Vi,0.2,86,35,22.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,122,7.8,169.1,951.6,20630.2
233,Rune Age,1.0,26,35,33.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,131,11.5,174.5,1506.5,22859.5
233,Rune Ine,1.0,26,35,33.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,75,11.5,174.5,862.5,13087.5
233,Rune Do,20.0,4,35,99.4,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,925,1.7,10.4,1572.5,9620.0
233,Rune Pui,2.0,18,35,45.3,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,46,7.9,90.3,363.4,4153.8
233,Rune Do Cri,5.0,8,35,50.2,2024-04-23 09:38:56,Il y'a 3 heures,2024-04-10 10:08:00,1092,3.5,36.6,3822.0,39967.2
237,Rune Fo,1.0,-40,2733,0.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,89,0.0,0.0,0.0,0.0
237,Rune Vi,0.2,50,2733,5.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,138.0,15.4,16836.0,1878.8
237,Rune Cha,1.0,36,2733,15.6,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,425.8,20.6,13199.8,638.6
237,Rune Do Eau,5.0,2,2733,5.0,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,929,27.6,3.1,25640.4,2879.9
247,Rune Vi,0.2,13,1749,1.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,122,30.5,6.4,3721.0,780.8
247,Rune Cha,1.0,13,1749,4.7,2024-04-23 09:38:56,Il y'a 3 heures,2024-03-05 12:54:00,31,82.3,7.9,2551.3,244.9
