id,name,level,type
653,Étoffe d'Écurouille,26,Étoffe
646,Poils de Black Tiwabbit,46,Poil
648,Aile de Bourdard,56,Aile
657,Bâton du Maître des Tofus,56,Bâton
649,Poils de Wo Wabbit,56,Poil
640,Arc des Rivages,46,Arc
654,Étoffe du Wabbit,48,Étoffe
641,Coton Ancestral,18,Ressources diverses
650,Duvet de Bourdard,56,Poil
658,Bâton du Maître des Tabis,34,Bâton
652,Étoffe du Sanglier,24,Étoffe
643,Fil de Soie,18,Ressources diverses
638,Amulette du Pêcheur de Somoon,35,Amulette
642,Cocon de Ver à Soie,36,Ressources diverses
651,Étoffe du Mulou,96,Étoffe
639,Amulette des Abîmes,47,Amulette
683,Petit Parchemin de Force,1,Parchemin de caractéristique
686,Petit Parchemin d'Intelligence,1,Parchemin de caractéristique
674,Fendeuse de Merisier,32,Hache
677,Cape du Pirate,1,Cape
679,Parchemin Blanc,1,Parchemin d'expérience
684,Parchemin de Kolizétons,1,Parchemin de caractéristique
675,Trancheuse de Noyer,21,Hache
678,Parchemin d'Ivoire,25,Parchemin d'expérience
680,Parchemin Doré,50,Parchemin d'expérience
673,Mangeuse de Châtaignier,8,Hache
676,Mangeuse d'Érable,25,Hache
717,Parchemin de Sculpteur de baguettes,1,Parchemin d'expérience
707,Minotokorno,33,Chapeau
700,Pandawa,7,Chapeau
697,Makroute,6,Chapeau
702,Kritter,30,Chapeau
719,Parchemin de Libération,1,Parchemin de sortilège
708,Houde,30,Chapeau
716,Parchemin de Sculpteur de bâtons,1,Parchemin d'expérience
694,Dofus Pourpre,110,Dofus
701,Le Oiram,22,Chapeau
696,La Coiffe du Ploukosse,20,Chapeau
695,Parchemin de Bûcheron,1,Parchemin d'expérience
699,Le Troma,22,Chapeau
715,Parchemin de Sculpteur,1,Parchemin d'expérience
706,Crystal O'Boul,24,Chapeau
703,Dora,36,Chapeau
714,Parchemin de Forgeur de dagues,1,Parchemin d'expérience
710,Korko Klako,17,Chapeau
698,Choipo Podlard,33,Chapeau
705,Masque Tromatisant,47,Chapeau
704,Dantgoule,36,Chapeau
711,Jouik Krampe,26,Chapeau
709,Lorko Kasko,37,Chapeau
712,Gulliver,32,Chapeau
692,Pain Consistant,70,Pain
718,Parchemin de la Flamèche,30,Parchemin de sortilège
713,Parchemin de Forgeron,1,Parchemin d'expérience
733,Bottes de Ragalde,49,Bottes
744,Cape de Bowisse,20,Cape
720,Parchemin du Foudroiement de Grunob,20,Parchemin de sortilège
748,Magnésite,60,Alliage
739,Dofus Turquoise,160,Dofus
746,Ebonite,40,Alliage
737,Dofus Émeraude,100,Dofus
749,Bakélélite,80,Alliage
743,Brioche Dorée,190,Pain
747,Aluminite,20,Alliage
742,Bâton Cornu,29,Bâton
734,Ceinture de Sécurité,17,Ceinture
745,Lingot d'Or,10,Alliage
732,Alliance de Silimelle,26,Anneau
721,Parchemin d'Invocation de l'Arakne,1,Parchemin de sortilège
772,Cape Edépée,22,Cape
756,Slip en Cuir Moulant du Garglyphe,36,Vêtement
750,Kouartz,100,Alliage
777,Cape du Coq Hû,44,Cape
760,Pain au curry sans curry,1,Pain
775,Cape Abilité,17,Cape
773,Cape Ellinie,14,Cape
768,Camaïneux,4,Anneau
776,Cape Sulcorpe,14,Cape
761,Poils de souris,1,Poil
769,Einekeineux,5,Bottes
765,Faux de Farle Ingalsse,13,Faux
757,Gelée Bleutée,54,Gelée
758,Cape du Justicier,30,Cape
752,Sang de Vampire,35,Liquide
754,Cape du Vampire,29,Cape
774,Cape Ulais,14,Cape
759,Cape du Poolay Chogrelotant,33,Cape
778,Cape de Mori Arty,6,Cape
767,Gantie Royal,6,Anneau
779,Cape Maj'Hic,34,Cape
771,Mangeuse de Frêne,8,Hache
766,Koliet Aclou,1,Amulette
791,Abraknydi Vivitus,34,Bâton
797,Puissant Parchemin de Force,1,Parchemin de caractéristique
781,Cape Itou Lascione,21,Cape
804,Grand Parchemin de Sagesse,1,Parchemin de caractéristique
796,Grand Parchemin de Force,1,Parchemin de caractéristique
807,Parchemin de Vitalité,1,Parchemin de caractéristique
785,Anneau Fortifiant,10,Anneau
795,Parchemin de Force,1,Parchemin de caractéristique
806,Petit Parchemin de Vitalité,1,Parchemin de caractéristique
792,Muqueuse de Moumoule,46,Ressources diverses
808,Grand Parchemin de Vitalité,1,Parchemin de caractéristique
786,Pendentif du Hibou Chétif,3,Amulette
787,Anneau Rexik,1,Anneau
799,Parchemin d'Agilité,1,Parchemin de caractéristique
802,Petit Parchemin de Sagesse,1,Parchemin de caractéristique
803,Parchemin de Sagesse,1,Parchemin de caractéristique
798,Petit Parchemin d'Agilité,1,Parchemin de caractéristique
800,Grand Parchemin d'Agilité,1,Parchemin de caractéristique
809,Petit Parchemin de Chance,1,Parchemin de caractéristique
790,Cape de Bonne Espérance,30,Cape
782,Agride,27,Hache
783,Amulette du Bûcheron,22,Amulette
789,Ceinture du Kobeer,1,Ceinture
793,Potion Périmée,95,Potion
784,Bottes du Chat Buté,4,Bottes
805,Puissant Parchemin de Sagesse,1,Parchemin de caractéristique
801,Puissant Parchemin d'Agilité,1,Parchemin de caractéristique
829,Arc Hade,5,Arc
838,Manuel du Directeur Grunob,40,Ressources diverses
816,Grand Parchemin d'Intelligence,1,Parchemin de caractéristique
815,Parchemin d'Intelligence,1,Parchemin de caractéristique
814,Puissant Parchemin de Chance,1,Parchemin de caractéristique
811,Parchemin de Chance,1,Parchemin de caractéristique
817,Puissant Parchemin d'Intelligence,1,Parchemin de caractéristique
827,Lame du Bwork,26,Épée
818,Clé en Roche de Ded Aléïcar,1,Forêt Maléfique
832,Baguette d'Intelligence,29,Baguette
836,Abranneau,40,Anneau
828,Arc Sifflant,11,Arc
812,Grand Parchemin de Chance,1,Parchemin de caractéristique
810,Puissant Parchemin de Vitalité,1,Parchemin de caractéristique
835,Baguette de Sagesse,27,Baguette
821,Épée Sacrée,17,Épée
824,Épée du Chevalier,26,Épée
837,Bottes de Kluh,7,Bottes
847,Œuf de Dragoeuf Calcaire,74,Œuf
861,Bottes de Force,1,Bottes
864,Bottes de Chance,7,Bottes
862,Sandales d'Intelligence,6,Bottes
844,Œuf de Dragoeuf Ardoise,74,Œuf
840,Poils du Minotoror,120,Poil
867,Dragolyre,32,Amulette
848,Vieil Os de Dragoeuf,70,Os
846,Œuf de Dragoeuf Charbon,74,Œuf
845,Œuf de Dragoeuf Argile,74,Œuf
849,Anneau Forcesque,2,Anneau
853,Petit Anneau du Chanceux,1,Anneau
863,Bottes Agilesques,6,Bottes
850,Anneau Agilesque,2,Anneau
852,Petit Anneau Magique,1,Anneau
856,Grenouillette,1,Amulette
842,Coquille de Dragoeuf Argile,70,Coquille
841,Anneau de Satisfaction,8,Anneau
851,Anneau Vitalesque,2,Anneau
860,Ceinture de Chance,1,Ceinture
843,Coquille de Dragoeuf Charbon,70,Coquille
889,Bottes de Concentration,27,Bottes
896,Dagues Sylvestres,27,Dague
887,Cuir de Ouassingue,36,Cuir
879,Parchemin de Cordonnier,1,Parchemin d'expérience
881,Laine de Ramane Strubien,23,Laine
882,Laine du Chef de Guerre Bouftou,29,Laine
884,Cuir de Bouftou Noir,26,Cuir
886,Cuir de Bouftou Royal,30,Cuir
885,Laine de Boufton Noir,26,Laine
878,Parchemin de Boulanger,1,Parchemin d'expérience
880,Laine de Bouftou Royal,30,Laine
892,Bottes du Bouftou,4,Bottes
883,Cuir de Boostache Prépubère,36,Cuir
926,Bois Envoûté,90,Bois
912,Bottes Dorées d'Hogmeiser,95,Bottes
929,Kristalite,120,Pierre précieuse
917,La Feuille d'Automne,89,Amulette
901,Cuir du Cochon de Lait,33,Cuir
910,Bottes d'Hogmeiser,75,Bottes
909,Bottes de Poursuite,39,Bottes
905,Bottes de Klime,41,Bottes
911,Bottes Usées d'Hogmeiser,1,Bottes
919,Dagues Ancestrales,34,Dague
928,Lame d'Ogralimde,45,Épée
927,Fendeuse d'Abraknyde Ancestral,93,Hache
916,Amulette de Silicate,37,Amulette
923,Fendeuse d'Abraknyde,74,Hache
918,Ambre Ancestral,90,Pierre précieuse
920,Bois Ancestral,100,Bois
924,Puissantes Bottes de Klime,12,Bottes
900,Dagues Aiguisées,39,Dague
940,Louffeur,1,Chapeau
947,Cape Sombre,18,Cape
942,Lisseur,2,Chapeau
955,Cape Hilère,34,Cape
957,La Boufteuse,23,Cape
948,Abracape,40,Cape
937,Cape Bleutée,7,Cape
934,Cape de Rougeur,16,Cape
930,Carte au trésor des Mineurs Sombres,1,Divers
941,Bandeau Komintot,3,Chapeau
953,Cape du Tofu Fou,36,Cape
952,Cape du Mulou Fou,33,Cape
958,Dofusteuse,200,Cape
956,Cape Rice,32,Cape
931,Carte au trésor des Boulangers Sombres,1,Divers
949,Bandeau de Vitalité,3,Chapeau
954,La Samoulaille,22,Cape
939,Carte au trésor des Bworks,1,Divers
971,Cape du Wa Wabbit,60,Cape
967,Cape Fulgurante,55,Cape
976,Citwouille,20,Chapeau
989,Shigekax Citron,1,Friandise
969,Couronne du Wa Wabbit,60,Chapeau
975,Canine du Vampire Captif,1,Divers
972,Dofus Cawotte,60,Dofus
965,Pierre de Dopeul,41,Pierre précieuse
960,Potion Wabbit,1,Îles des Wabbits
963,Morceau de clef du Soiw Woulant,60,Clef
962,Morceau de clef du Midi Wayonnant,60,Clef
970,Bâton du Wa Wabbit,60,Bâton
968,Ceinture Fulgurante,30,Ceinture
973,Patte d'Araknelle,1,Divers
961,Morceau de clef du Matin Pewlant,60,Clef
993,Vertgely,56,Friandise
997,Noix de Kokoko,50,Fruit
995,Blugely,54,Friandise
1000,Tonneau kanniboul,1,Île de Moon
1004,Corde en liane,1,Île de Moon
1011,Carapace Jaune,1,Île de Moon
992,Shigekax Cerise,1,Friandise
1016,Masque rouge,60,Île de Moon
1002,Tronc de Kokoko,50,Bois
990,Shigekax Fraise,1,Friandise
1001,Planche en bois de kokoko,1,Île de Moon
991,Shigekax Menthe,1,Friandise
1019,Casque,20,Chapeau
1015,Masque jaune,60,Île de Moon
996,Multygely,60,Friandise
1003,Poutre en bois de kokoko,1,Île de Moon
998,Caleçon Mignon du Pirate,90,Vêtement
1009,Crâne de pirate,1,Île de Moon
1014,Masque vert,60,Île de Moon
999,Toile peu ragoutante,1,Île de Moon
1017,Masque bleu,60,Île de Moon
1013,Carapace Bleue,1,Île de Moon
994,Rougely,58,Friandise
1012,Carapace Rouge,1,Île de Moon
1010,Carapace Verte,1,Île de Moon
1018,Kole,100,Liquide
1041,Épée Cassée du Chevalier Malchanceux,35,Dague
1035,Lame de Fon,56,Dague
1020,Casque cassé,1,Vêtement
1040,Lames Sanglantes D'Ortimus Contrari,80,Dague
1030,Queues de Chatons,25,Dague
1049,Pelle Melle,50,Pelle
1023,Bouteille de rhum,1,Ressources diverses
1039,Dagues Fourbesques,67,Dague
1045,Pelle de Bois Dormant,43,Pelle
1022,Ailes cassées,1,Aile
1021,Ailes en bois,20,Cape
1029,Couteau à Stek,41,Dague
1031,Dagues Cruelles d'Elorie Entuwan,40,Dague
1067,Marteau R'unique,30,Marteau
1054,Cruelle Pelle-Truelle,53,Pelle
1079,Masse Aj Taye,51,Marteau
1075,Marteau Outar,48,Marteau
1071,Masse Tmosfer,43,Marteau
1059,Pelle des Champs,15,Pelle
1063,Masse d'Ha,24,Marteau
1053,Pelle Woukuis,64,Pelle
1058,Pelle de Koutoulou,34,Pelle
1088,Masque Kanniboul,50,Chapeau
1095,Arc Buse,24,Arc
1087,Anneau du Mental,14,Anneau
1084,Marteau à Torts,81,Marteau
1085,Marteau des Falistos,79,Marteau
1104,Baguette Heure,30,Baguette
1090,Astrocoiffe,1,Chapeau d'apparat
1083,Marteau Pospodrol,70,Marteau
1089,Ticket pour l'île de Moon,1,Ressources diverses
1086,Peinture noire,1,Ressources diverses
1132,Baguette Ni'Ninnin,50,Baguette
1120,Arc Ecologique,33,Arc
1128,Arc du Roi des Borins,72,Arc
1131,Baguette d'Eglise,52,Baguette
1116,"Arc dit Kéha, version standard",47,Arc
1124,Arc de Cristal,56,Arc
1136,Baguette à Pans,45,Baguette
1112,Arc en Corne de Bouftou,38,Arc
1129,Coquille de Dragoeuf Ardoise,70,Coquille
1146,Baguette Meneuse,71,Baguette
1141,Plume du Kwak de Terre,44,Plume
1162,Bâton des Rois,60,Bâton
1151,Bâton Dakn,37,Bâton
1140,Baguette d'Houvette,55,Baguette
1157,Bâton-Boule de Voyante,50,Bâton
1142,Bec du Kwak de Terre,44,Os
1147,Bâton de fausse magie,35,Bâton
1183,Potion de Mini Soin Supérieure,20,Potion
1182,Potion de Mini Soin,1,Potion
1329,Bois élastique,1,Bois
1333,Potion d'Étincelle,20,Potion de forgemagie
1343,Potion de Flambée,40,Potion de forgemagie
1331,Médaille Oly,51,Amulette
1336,Urtica,1,Plante
1334,Blague de Soufre,1,Poudre
1347,Potion d'Ouragan,80,Potion de forgemagie
1338,Potion de Secousse,20,Potion de forgemagie
1341,Potion d'Averse,40,Potion de forgemagie
1335,Potion de Crachin,20,Potion de forgemagie
1324,Herbe à chacha,1,Plante
1345,Potion d'Incendie,80,Potion de forgemagie
1339,Clochettes,1,Fleur
1342,Potion de Rafale,40,Potion de forgemagie
1327,Os taillé,1,Os
1348,Potion de Séisme,80,Potion de forgemagie
1346,Potion de Tsunami,80,Potion de forgemagie
1328,Kama énigmatique,1,Ressources diverses
1332,Vieux Trèfle à 4 feuilles,1,Plante
1340,Potion d'Éboulement,40,Potion de forgemagie
1344,Verveine,1,Plante
1326,Silex Sanglant,1,Pierre brute
1337,Potion de Courant d'Air,20,Potion de forgemagie
1376,Hache Heuvante,35,Hache
1365,La Canne Hête,20,Bâton
1362,Pieu Vampirique,65,Baguette
1375,Hache Térophyle,15,Hache
1352,Arc de Boo,52,Arc
1372,Dagues Aj'Deh'Là,44,Dague
1360,L'Hyldegarde,48,Baguette
1356,Demi-Baguette,1,Baguette
1374,Dagues Tylo,30,Dague
1359,Le Tison Fûté,59,Baguette
1371,Dagues Eulasse,40,Dague
1366,Bâton de Bouftier,12,Bâton
1354,L'Arc à Hick,49,Arc
1364,Bâton d'Oubli,30,Bâton
1353,Arc à Poulie Sciée,41,Arc
1379,Le Scrounnchhh,35,Marteau
1350,Arc Holic,13,Arc
1373,Le Rasoir Infernal,30,Dague
1351,Arc du Xueluom,30,Arc
1368,Lance à un 110,29,Lance
1377,Hache Huré,22,Hache
1355,Arc Hidsad,40,Arc
1367,"Bâton de Dina, dit 'le Mythe'",40,Bâton
1369,Les Lames en Table,33,Dague
1370,L'Ergot Mina,20,Dague
1363,Bâton Tont'Ata,40,Bâton
1378,Francisque à Brêles,28,Hache
1361,Baguette Sylvien,43,Baguette
1357,Daguette,35,Baguette
1403,Marteau Tau,23,Marteau
1405,Potion Eau de fée,80,Potion
1406,Sang de Likrone,100,Potion
1393,Le Matronome,54,Marteau
1399,Maillet Aclou,15,Marteau
1383,Marteau Re'Thu,55,Marteau
1404,Marteau Toh'Lo,35,Marteau
1426,Pelle à Thart',24,Pelle
1439,Mauvaise Pioche,6,Pioche
1428,Immortelle,1,Plante
1433,Pelle Sécutrice,60,Pelle
1435,La Pelle du Large,80,Pelle
1427,Pelle Zébuth,55,Pelle
1431,Pelle Mechba,60,Pelle
1432,Pelle Houze,21,Pelle
1436,Pelle Ikan,50,Pelle
1465,Antennes de Scarafeuille Rouge,38,Ressources diverses
1463,Fiole à élément,10,Matériel d'alchimie
1469,Parchemin de recommandation,1,Divers
1460,Grande fiole,1,Matériel d'alchimie
1457,Ailes de Scarafeuille Rouge,38,Aile
1464,Antennes de Scarafeuille Bleu,38,Ressources diverses
1456,Ailes de Scarafeuille Blanc,38,Aile
1467,Antennes de Scarafeuille Blanc,38,Ressources diverses
1455,Ailes de Scarafeuille Bleu,38,Aile
1466,Antennes de Scarafeuille Vert,38,Ressources diverses
1458,Ailes de Scarafeuille Vert,38,Aile
1461,Poison cinglant,100,Préparation
1468,Bocal,1,Matériel d'alchimie
1462,Liquide vampiresque,30,Préparation
1459,Tube longiforme,1,Matériel d'alchimie
1498,Souvenir d'Enutrof,30,Anneau
1487,L'Adelus,48,Ceinture
1493,Blessure du Sacrieur,15,Anneau
1499,L'Enutrofion,59,Anneau
1483,Kabale,29,Amulette
1480,Accord,38,Amulette
1478,Harmonie,47,Amulette
1477,Chance à Mulette,44,Amulette
1474,Amulette de Xélor,52,Amulette
1481,Entente,23,Amulette
1489,La Broche Hète,28,Amulette
1486,Médaille Holy,31,Amulette
1494,Le Bagueur,15,Anneau
1482,Emblème Livide,41,Amulette
1496,Chance d'Ecaflip,20,Anneau
1472,Parchemin de demande d'examen,1,Divers
1479,Le Twote en Carton,46,Marteau
1476,Amulette du Craqueleur,47,Amulette
1470,Parchemin de recommandation,1,Divers
1495,L'Anneau Dhyn,36,Anneau
1491,Chaîne de la Liche,45,Amulette
1490,La Chaîne Nhanor Kibrill,13,Amulette
1497,Passé de Xélor,30,Anneau
1471,Parchemin de recommandation et fleur,1,Divers
1484,Amulette Itby,12,Amulette
1488,Plimclik,130,Amulette
1475,La Zulie Lame,60,Épée
1485,La Reinette,22,Amulette
